0 0
1e-05 8
2e-05 7
3e-05 8
4e-05 10
5e-05 11
6e-05 6
7e-05 12
8e-05 19
9e-05 10
0.0001 9
0.00011 10
0.00012 10
0.00013 11
0.00014 14
0.00015 7
0.00016 6
0.00017 5
0.00018 7
0.00019 5
0.0002 10
0.00021 4
0.00022 10
0.00023 8
0.00024 5
0.00025 12
0.00026 11
0.00027 9
0.00028 5
0.00029 13
0.0003 5
0.00031 8
0.00032 8
0.00033 5
0.00034 8
0.00035 15
0.00036 14
0.00037 12
0.00038 9
0.00039 3
0.0004 5
0.00041 7
0.00042 8
0.00043 7
0.00044 9
0.00045 4
0.00046 10
0.00047 12
0.00048 12
0.00049 11
0.0005 7
0.00051 10
0.00052 15
0.00053 7
0.00054 12
0.00055 15
0.00056 8
0.00057 10
0.00058 8
0.00059 3
0.0006 10
0.00061 12
0.00062 9
0.00063 7
0.00064 9
0.00065 13
0.00066 8
0.00067 10
0.00068 7
0.00069 9
0.0007 9
0.00071 9
0.00072 8
0.00073 11
0.00074 7
0.00075 12
0.00076 7
0.00077 8
0.00078 12
0.00079 14
0.0008 9
0.00081 6
0.00082 10
0.00083 9
0.00084 14
0.00085 4
0.00086 11
0.00087 8
0.00088 9
0.00089 13
0.0009 8
0.00091 9
0.00092 6
0.00093 8
0.00094 8
0.00095 9
0.00096 10
0.00097 13
0.00098 7
0.00099 8
0.001 4
